,Serial,Sentence,Objective Rating,Far Away Rating
4245,4586, Child is covered in blood and injuries.,7.0,1.0
9970,10512,"Does it take sacrifice, yes, hard work, yes, but you CAN get there and I’m committed to showing you how!!!",1.0,1.5
10237,10779, She looks obviously pained and he seems unbothered.,3.0,2.5
10363,10905,"For example, each time someone clicks through to Nordstrom’s website to see which tiny gold earrings the women at Cup of Jo are “all in love with,” and then buys those earrings, Cup of Jo earns a small commission.",4.5,4.0
10243,10785, A man looks sadly at the camera.,1.0,2.5
5279,5620, There is a burn victim.,4.0,2.0
9007,9348,"Podesta and his brother, Tony, are Comet fans, and in these emails I was invited to cook for a Clinton fundraiser.",6.0,1.0
1126,1127, I really dislike this photo because it is very violent and aggressive.,3.0,4.0
11813,12855, It's a kid being dug up.,3.0,5.0
9437,9778, A boy is seen being carried by a woman.,6.5,2.5
691,692,A woman's face has a huge scar that has left an open wound on the right side of her cheek all the way to her forehead.,6.5,2.0
7995,8336, A smiling baby is playing on a pillow that is on a carpet.,6.0,3.0
6961,7302, We know nothing else.,1.0,7.0
2054,2055, A school girl is sitting at her desk reading a book.,7.0,1.0
7544,7885,Another thing we know is that there is a very sharp generational divide.,,1.0
6824,7165, I don't even know what this is but it looks extremely disfigured.,4.0,1.0
1740,1741, There is a lot of blood and burns and stuff.,5.5,2.0
6803,7144,Yikes he got some bad teeth and that mustache is awful.,3.0,2.0
11066,12108, There's a little boy in this photo with dark eyes and blonde hair.,6.0,3.0
11321,12363, I feel a bit disturbed.,1.0,1.0
10181,10723, The girl is holding on the guys tank top because she's mad.,2.5,2.0
1885,1886," bad thoughts, sadness for fam and friends.",1.5,1.5
9149,9490, A baby is lying down outside on a pillow.,5.0,4.0
8257,8598,"Her most expensive binder, the Shopify binder (which helps you keep your Shopify business organized) sells for almost $300; she advertises it with the claim that she earned more than $52,000 through Shopify sales in her first month using the tool.",5.666666666666667,2.6666666666666665
423,424, she is also wearing a yellow and blue bracelet.,7.0,1.0
11885,12927, There's a woman wearing a blazer and glasses in the photo.,7.0,5.0
279,280, disagreement between mother daughter and mom looks confused.,5.0,2.0
6941,7282, The doctor is reading from the chronometer.,7.0,3.0
1762,1763, she really should pick up the bear though because that is unnecessary strain on its right arm.,3.5,2.0
1063,1064, Man is holding a gun to his head.,6.5,3.5
4586,4927, I don't feel bad.,2.0,1.0
138,139, his expression is emotionless .,1.0,1.0
10936,11478, The kid has burst into tears.,7.0,3.5
3667,4008,"It feels reckless to confess this to an Internet-full of strangers, and even more reckless to confess this to friends and maybe a couple foes.",1.0,3.0
